a,t,H,rho,p,w,KE_H,PE_H,KE_L,PE_L,n_a3,rho_kinetic,p_kinetic,w_kinetic,rel_dev_rho,rel_dev_p,beta2_weighted,beta2_max,beta2_adiabatic_max,norm_dev_max
2.51188643150958129e+01,6.30957344480193751e+03,7.92446596230556147e-05,1.52227280431490808e-01,3.05405180173497284e-02,2.00624473686858956e-01,9.16215540520491922e-02,6.06057263794416504e-02,7.61136402157454039e-02,7.61136402157454039e-02,1.45788110637884688e+03,1.52227283359367055e-01,3.05408619247746552e-02,2.00626728998874793e-01,-1.92335840356119635e-08,-1.12605670977399771e-05,1.88184332279014929e-08,2.04026393775725969e-05,2.04022530069181052e-05,4.51619839303418757e-08
2.71227257933202992e+01,7.35642254459642390e+03,6.79678195439261800e-05,1.15606471326303001e-01,2.19116827736871335e-02,1.89536818504222826e-01,6.57350483210613901e-02,4.98714230052416108e-02,5.78032356631515004e-02,5.78032356631515004e-02,1.45788110727161052e+03,1.15606473606949034e-01,2.19117082231891531e-02,1.89537034904177309e-01,-1.97276671624032444e-08,-1.16145677737373257e-06,1.88845306383925783e-08,2.04038180696444773e-05,2.04022543319664086e-05,4.55540121180320057e-08
2.92864456462523677e+01,8.57695898590894285e+03,5.82957200589915753e-05,8.80221919619856297e-02,1.56886165039801483e-02,1.78234785504496757e-01,4.70658495119404413e-02,4.09563424500450982e-02,4.40110959809928148e-02,4.40110959809928148e-02,1.45788110826998422e+03,8.80221937015703282e-02,1.56886045514477504e-02,1.78234646192053092e-01,-1.97630236802584535e-08,7.61860773446198923e-07,1.87317239446958093e-08,2.04061613276883341e-05,2.04022536565363090e-05,4.57852742385966849e-08
3.16227766016838032e+01,1.00000000000000073e+04,4.99999999999999617e-05,6.71953339224218293e-02,1.12092129010592650e-02,1.66815346345335430e-01,3.36276387031777951e-02,3.35676952192440411e-02,3.35976669612109147e-02,3.35976669612109147e-02,1.45788111091235055e+03,6.71953351888544131e-02,1.12092167318106600e-02,1.66815400210547887e-01,-1.88470312744558041e-08,-3.41750140671608802e-07,1.87772710014047946e-08,2.04046839851750032e-05,2.04022539841802539e-05,4.72174706001027289e-08
3.41454887383360344e+01,1.16591440117983293e+04,4.28847949295446595e-05,5.14315556822389913e-02,7.99133159639562121e-03,1.55377987120760785e-01,2.39739947891868636e-02,2.74575608930521207e-02,2.57157778411194957e-02,2.57157778411194957e-02,1.45788111318648748e+03,5.14315566156466480e-02,7.99140237751837929e-03,1.55379360520603277e-01,-1.81485398876394796e-08,-8.85715915859733945e-06,1.87456122524519660e-08,2.03996141744412401e-05,2.04022538414294390e-05,5.10762654393204230e-08
3.68694506451957551e+01,1.35935639087852560e+04,3.67821127229820660e-05,3.94693917189734705e-02,5.68469548444269866e-03,1.44027947654181560e-01,1.70540864533280968e-02,2.24153052656453633e-02,1.97346958594867353e-02,1.97346958594867353e-02,1.45788111495380417e+03,3.94693924250557951e-02,5.68468133041369166e-03,1.44027586469888641e-01,-1.78893639139176521e-08,2.48985443234519722e-06,1.87779160757809086e-08,2.04002955154246897e-05,2.04022538534234560e-05,4.78287662808440928e-08
3.98107170553497340e+01,1.58489319246111427e+04,3.15478672240096465e-05,3.03681291552237061e-02,4.03469540616853591e-03,1.32859531304861972e-01,1.21040862185056077e-02,1.82640429367180931e-02,1.51840645776118530e-02,1.51840645776118530e-02,1.45788111732753464e+03,3.03681296743679059e-02,4.03467372833886569e-03,1.32858815198761332e-01,-1.70950336888565944e-08,5.37288294663276794e-06,1.87640087612101506e-08,2.04006735892605084e-05,2.04022537740744361e-05,4.62948497315096574e-08
4.29866234708227850e+01,1.84784979742229261e+04,2.70584763273231596e-05,2.34249921403432218e-02,2.85705775682366459e-03,1.21966220509553733e-01,8.57117327047099246e-03,1.48538188698722224e-02,1.17124960701716109e-02,1.17124960701716109e-02,1.45788111937910912e+03,2.34249925269351018e-02,2.85705907684882104e-03,1.21966274847842407e-01,-1.65033939537684211e-08,-4.62022352688553307e-07,1.87523917203430337e-08,2.04026667957493110e-05,2.04022537542673465e-05,5.47704517295244386e-08
4.64158883361278072e+01,2.15443469003188511e+04,2.32079441680638785e-05,1.81139320752782967e-02,2.01848727856768478e-03,1.11432861190999766e-01,6.05546183570305520e-03,1.20584702395752502e-02,9.05696603763914837e-03,9.05696603763914837e-03,1.45788112181458655e+03,1.81139323560327789e-02,2.01852306373369404e-03,1.11434835024181389e-01,-1.54993668213118583e-08,-1.77283909469263215e-05,1.87501955601312762e-08,2.04031650987187447e-05,2.04022537876476139e-05,5.79521850507802583e-08
5.01187233627272377e+01,2.51188643150958123e+04,1.99053585276748541e-05,1.40403509939182863e-02,1.42284201775846842e-03,1.01339490613502906e-01,4.26852605327540484e-03,9.77182494064287796e-03,7.02017549695914313e-03,7.02017549695914313e-03,1.45788112436733763e+03,1.40403511964397668e-02,1.42283046062460371e-03,1.01338666014664430e-01,-1.44242460644322822e-08,8.12263596018432449e-06,1.87830868015211369e-08,2.04030414950492833e-05,2.04022537955698487e-05,5.83776158524784705e-08
