m,node,k,t0,a_end,beta2_initial,beta2_kink,beta2_adiabatic_kink,beta2_end,beta2_adiabatic_end,beta2_kink_tail_theory
1.00000000000000006e-01,2.80000000000000000e+01,8.14091266456725832e-02,-7.80658525785255453e+00,3.16227766016837904e+02,3.90624707031244115e-13,1.15167209422557995e-01,6.47057813546459859e-01,2.28816361195266577e-01,2.28816400159334438e-01,5.41906093765842556e+01
1.00000000000000006e-01,2.90000000000000000e+01,1.05084921732945966e-01,-7.55130384384865838e+00,3.16227766016837904e+02,3.90624707031244721e-13,8.13579221876447461e-02,5.53094899287784658e-01,1.97840450142268726e-01,1.97840504663525624e-01,3.52000557590679009e+01
1.00000000000000006e-01,3.00000000000000000e+01,1.35853437845778968e-01,-7.29449600378898921e+00,3.16227766016837904e+02,3.90624707031243055e-13,5.33093898305959171e-02,3.80812035427699536e-01,1.61605955870504914e-01,1.61606031464155919e-01,1.75920445446206486e+01
1.00000000000000006e-01,3.10000000000000000e+01,1.75792054511413470e-01,-7.03677085748128572e+00,3.16227766016837904e+02,3.90624707031244115e-13,3.25190289376267455e-02,2.13444070574431516e-01,1.21631517243255771e-01,1.21631605353445041e-01,6.90024283131159510e+00
1.00000000000000006e-01,3.20000000000000000e+01,2.27541569561683199e-01,-6.77873970048298791e+00,3.16227766016837904e+02,3.90624707031244115e-13,1.86176299175706134e-02,1.00526376708807749e-01,8.13500613496370428e-02,8.13500982432171782e-02,2.22200911089743380e+00
1.00000000000000006e-01,3.30000000000000000e+01,2.94434948679090813e-01,-6.52101455417528619e+00,3.16227766016837904e+02,3.90624707031243105e-13,1.00986291457023057e-02,4.13623780298366037e-02,4.60163955521133428e-02,4.60163042017257828e-02,6.19865772714583652e-01
1.00000000000000006e-01,3.40000000000000000e+01,3.80644523879958785e-01,-6.26420671411561614e+00,3.16227766016837904e+02,3.90624707031244721e-13,5.23392763869428516e-03,1.54017646983402243e-02,2.08029131283819155e-02,2.08029715940238648e-02,1.57334087948465456e-01
1.00000000000000006e-01,3.50000000000000000e+01,4.91345401285253169e-01,-6.00892530011171910e+00,3.16227766016837904e+02,3.90624707031244721e-13,2.60928902681146222e-03,5.33202550991129526e-03,7.29731211704719857e-03,7.29725292279829671e-03,3.77617770999791394e-02
1.00000000000000006e-01,3.60000000000000000e+01,6.32890128287980525e-01,-5.75577581145630468e+00,3.16227766016837904e+02,3.90624707031244115e-13,1.25771980610104553e-03,1.74883962876781285e-03,2.13311471710344583e-03,2.13310445226182763e-03,8.81196567281651924e-03
1.00000000000000006e-01,3.70000000000000000e+01,8.12986053294263544e-01,-5.50535869074910700e+00,3.16227766016837904e+02,3.90624707031244721e-13,5.88686627766644597e-04,5.50437383920072574e-04,6.05547072864333173e-04,6.05515606214329866e-04,2.03842670281156532e-03
