x0,w0_tangent,wa_tangent,a_zero,z_zero,a_cross,z_cross,a_bounce,z_bounce,q0,cs2_today,wfit_requested_defined,wfit_requested_w0,wfit_requested_wa,wfit_restricted_a_lo,wfit_restricted_w0,wfit_restricted_wa
-4.40000000000000002e-01,-7.85714285714285698e-01,-4.20918367346938727e+00,7.60590492152278363e-01,3.14767947164647621e-01,9.58283971412556834e-01,4.35320112116157620e-02,7.06845251939905994e-01,4.14736814395433084e-01,-3.18956071428571408e-01,-7.33333333333333393e+00,0.00000000000000000e+00,nan,nan,8.37138157095927538e-01,-5.11718654474882406e-01,-1.19337595386909907e+01
-4.39000000000000001e-01,-7.82531194295900234e-01,-4.18465879302620536e+00,7.60013850163106963e-01,3.15765495306946642e-01,9.57557448032146596e-01,4.43237656968531457e-02,7.06226384527806506e-01,4.15976550732545691e-01,-3.15638128342245916e-01,-7.19672131147541005e+00,0.00000000000000000e+00,nan,nan,8.36503480463626992e-01,-5.07785766072695099e-01,-1.18959156425822883e+01
-4.38000000000000000e-01,-7.79359430604982140e-01,-4.16028165803371230e+00,7.59436331817486265e-01,3.16766077818262604e-01,9.56829820511798546e-01,4.51179285623750648e-02,7.05606867619148925e-01,4.17219766261897718e-01,-3.12331992882562304e-01,-7.06451612903225801e+00,0.00000000000000000e+00,nan,nan,8.35867839276246416e-01,-5.03866686636379013e-01,-1.18581933345629356e+01
-4.37000000000000000e-01,-7.76198934280639463e-01,-4.13605115957711966e+00,7.58857933778181559e-01,3.17769710888079926e-01,9.56101084646860611e-01,4.59145126577840124e-02,7.04986698279560953e-01,4.18466479495833266e-01,-3.09037602131438716e-01,-6.93650793650793673e+00,0.00000000000000000e+00,nan,nan,8.35231229860683877e-01,-4.99961356778341581e-01,-1.18205919793942797e+01
-4.35999999999999999e-01,-7.73049645390070816e-01,-4.11196619888335579e+00,7.58278652687578214e-01,3.18776410829561430e-01,9.55371236207003371e-01,4.67135309308461810e-02,7.04365873557058597e-01,4.19716709087543549e-01,-3.05754893617021239e-01,-6.81250000000000000e+00,0.00000000000000000e+00,nan,nan,8.34593648521406384e-01,-4.96069717508928587e-01,-1.17831109458158068e+01
-4.34999999999999998e-01,-7.69911504424778848e-01,-4.08802568721121506e+00,7.57698485167509928e-01,3.19786194080779573e-01,9.54640270936004010e-01,4.75149964284680149e-02,7.03744390481896964e-01,4.20970473832464442e-01,-3.02483805309734399e-01,-6.69230769230769162e+00,0.00000000000000000e+00,nan,nan,8.33955091540260707e-01,-4.92191710233517432e-01,-1.17457496065110085e+01
-4.33999999999999997e-01,-7.66784452296819685e-01,-4.06422854574285974e+00,7.57117427819085309e-01,3.20799077205962790e-01,9.53908184551527816e-01,4.83189222976863064e-02,7.03122246066417711e-01,4.22227792669695789e-01,-2.99224275618374502e-01,-6.57575757575757525e+00,0.00000000000000000e+00,nan,nan,8.33315555176282863e-01,-4.88327276749653871e-01,-1.17085073380733800e+01
-4.32999999999999996e-01,-7.63668430335097015e-01,-4.04057370547670391e+00,7.56535477222512909e-01,3.21815076896756036e-01,9.53174972744907367e-01,4.91253217866685077e-02,7.02499437304897834e-01,4.23488684683431815e-01,-2.95976243386243398e-01,-6.46268656716417844e+00,0.00000000000000000e+00,nan,nan,8.32675035665505270e-01,-4.84476359244190025e-01,-1.16713835209729950e+01
-4.31999999999999995e-01,-7.60563380281690016e-01,-4.01706010712160211e+00,7.55952629936923914e-01,3.22834209973499542e-01,9.52440631180919706e-01,4.99342082457276959e-02,7.01875961173393348e-01,4.24753169104415740e-01,-2.92739647887323873e-01,-6.35294117647058787e+00,0.00000000000000000e+00,nan,nan,8.32033529220761681e-01,-4.80638900290482785e-01,-1.16343775395231877e+01
-4.30999999999999994e-01,-7.57469244288225041e-01,-3.99368670099239909e+00,7.55368882500192962e-01,3.23856493386520450e-01,9.51705155497560185e-01,5.07455951283470874e-02,7.01251814629583858e-01,4.26021265311407937e-01,-2.89514428822495562e-01,-6.24637681159420222e+00,0.00000000000000000e+00,nan,nan,8.31391032031490229e-01,-4.76814842845602105e-01,-1.15974887818475700e+01
-4.29999999999999993e-01,-7.54385964912280604e-01,-3.97045244690673949e+00,7.54784231428757502e-01,3.24881944217441987e-01,9.50968541305814985e-01,5.15594959922205387e-02,7.00626994612614684e-01,4.27292992832673191e-01,-2.86300526315789394e-01,-6.14285714285714235e+00,0.00000000000000000e+00,nan,nan,8.30747540263534145e-01,-4.73004130247574150e-01,-1.15607166398475432e+01
-4.28999999999999992e-01,-7.51313485113835444e-01,-3.94735631408319820e+00,7.54198673217434612e-01,3.25910579680509738e-01,9.50230784189430522e-01,5.23759245003032614e-02,7.00001498042936321e-01,4.28568371347489041e-01,-2.83097880910682997e-01,-6.04225352112676006e+00,0.00000000000000000e+00,nan,nan,8.30103050058940473e-01,-4.69206706212653479e-01,-1.15240605091698320e+01
-4.27999999999999992e-01,-7.48251748251748117e-01,-3.92439728104063690e+00,7.53612204339236147e-01,3.26942417123931239e-01,9.49491879704680075e-01,5.31948944218769704e-02,6.99375321822143459e-01,4.29847420687668569e-01,-2.79906433566433521e-01,-5.94444444444444375e+00,0.00000000000000000e+00,nan,nan,8.29457557535756451e-01,-4.65422514832624368e-01,-1.14875197891744616e+01
-4.26999999999999991e-01,-7.45200698080279222e-01,-3.90157433549884480e+00,7.53024821245181775e-01,3.27977474031236671e-01,9.48751823380128645e-01,5.40164196336285762e-02,6.98748462832811779e-01,4.31130160839106047e-01,-2.76726125654450206e-01,-5.84931506849314964e+00,0.00000000000000000e+00,nan,nan,8.28811058787823796e-01,-4.61651500572127726e-01,-1.14510938829031854e+01
-4.25999999999999990e-01,-7.42160278745644497e-01,-3.87888647428037148e+00,7.52436520364110129e-01,3.29015768022652422e-01,9.48010610716394808e-01,5.48405141207415348e-02,6.98120917938332974e-01,4.32416611943337914e-01,-2.73556898954703698e-01,-5.75675675675675613e+00,0.00000000000000000e+00,nan,nan,8.28163549884570638e-01,-4.57893608266025487e-01,-1.14147821970477743e+01
-4.24999999999999989e-01,-7.39130434782608758e-01,-3.85633270321361099e+00,7.51847298102487405e-01,3.30057316856495309e-01,9.47268237185909578e-01,5.56671919780007407e-02,6.97492683982747330e-01,4.33706794299128839e-01,-2.70398695652173782e-01,-5.66666666666666607e+00,0.00000000000000000e+00,nan,nan,8.27515026870801473e-01,-4.54148783116770538e-01,-1.13785841419190632e+01
-4.23999999999999988e-01,-7.36111111111111049e-01,-3.83391203703703631e+00,7.51257150844214405e-01,3.31102138430581894e-01,9.46524698232673711e-01,5.64964674109127429e-02,6.96863757790575855e-01,4.35000728364071110e-01,-2.67251458333333303e-01,-5.57894736842105132e+00,0.00000000000000000e+00,nan,nan,8.26865485766484110e-01,-4.50416970691838447e-01,-1.13424991314159698e+01
