q,r3,k,parity,type,index,branch,mult,f,w,eps_level0,eps_extrapolated,interpolated
2.99000000000000000e+02,1.92000000000000000e+02,4.32290411644764561e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,7.68000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.17613400718251242e+01,-1.17613400718251242e+01,0.00000000000000000e+00
2.98000000000000000e+02,7.20000000000000000e+01,4.31566912540801706e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2.88000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.17504464451143047e+01,-1.17504464451143047e+01,0.00000000000000000e+00
2.97000000000000000e+02,1.92000000000000000e+02,4.30842198490352146e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,7.68000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.17395303180525961e+01,-1.17395303180525961e+01,0.00000000000000000e+00
2.96000000000000000e+02,1.20000000000000000e+02,4.30116263352131334e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4.80000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.17285915655650843e+01,-1.17285915655650843e+01,0.00000000000000000e+00
2.94000000000000000e+02,1.68000000000000000e+02,4.28660704987056196e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,6.72000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.17066456783643087e+01,-1.17066456783643087e+01,0.00000000000000000e+00
2.93000000000000000e+02,2.16000000000000000e+02,4.27931069215592252e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,8.64000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.16956382878100325e+01,-1.16956382878100325e+01,0.00000000000000000e+00
2.92000000000000000e+02,4.80000000000000000e+01,4.27200187265876519e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.92000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.16846077601192597e+01,-1.16846077601192597e+01,0.00000000000000000e+00
2.91000000000000000e+02,9.60000000000000000e+01,4.26468052730799485e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.84000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.16735539644396287e+01,-1.16735539644396287e+01,0.00000000000000000e+00
2.90000000000000000e+02,2.40000000000000000e+02,4.25734659148160066e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,9.60000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.16624767687192730e+01,-1.16624767687192730e+01,0.00000000000000000e+00
2.89000000000000000e+02,1.02000000000000000e+02,4.25000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4.08000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.16513760396916979e+01,-1.16513760396916979e+01,0.00000000000000000e+00
